appid,title,developer,publisher,genres,languages,tags,release_date,price,old_userscore,is_free,detailed_description,about_the_game,short_description,pc_requirements,content_descriptors
1197260,The Perfect Tower II,Fire Sword Studios,Fire Sword Studios,"Action, Free to Play, Indie, Strategy, Early Access",English,"Single-player, In-App Purchases, Steam Cloud",2021-02-26,,,true,JOIN OUR COMMUNITY ON DISCORDWishlist the prequelh...,The Perfect Tower II is a mix between an increment...,The Perfect Tower II is a mix between an increment...,Minimum:Requires a 64-bit processor and operating ...,
1419170,My Singing Monsters,Big Blue Bubble,Big Blue Bubble,"Simulation, Free to Play","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russianlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, In-App Purchases",2021-03-24,,,true,Follow & Wishlist Power Chordhttps://store.steampo...,"Raise a monster pet, then feed your musical monste...","Breed them, feed them, listen to them sing! Create...",Minimum:OS *: Windows 8Processor: Dual Core Proces...,
527230,For The King,IronOak Games,Curve Games,"Adventure, Indie, RPG, Strategy","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Polish, Japanese, Korean","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",2018-04-19,"$19.99 ",79,false,FOR THE KING II 1.1 UPDATE NOW LIVE!https://store....,"The King is dead, murdered by an unknown assailant...",For The King is a strategic RPG that blends tablet...,Minimum:Requires a 64-bit processor and operating ...,
640820,Pathfinder: Kingmaker - Enhanced Plus Edition,Owlcat Games,Prime Matter,"Adventure, RPG","English, French, German, Russian, Simplified Chineselanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Tablet, Family Sharing",2018-09-25,"$19.99 ",73,false,More from Owlcat Gameshttps://store.steampowered.c...,"With the help of over 18,000 Kickstarter backers, ...",Pathfinder: Kingmaker - Enhanced Plus Edition is t...,Minimum:Requires a 64-bit processor and operating ...,This game contains references to fantasy drugs (po...
1399720,Antimatter Dimensions,"Hevipelle, Omsi, Razenpok, Spectralflame, WaitingIdly","Hevipelle, Makopaz","Casual, Free to Play, Indie, Strategy",English,"Single-player, Steam Achievements, In-App Purchases",2022-12-17,,,true,Antimatter Dimensions is a highly unfolding Idle I...,Antimatter Dimensions is a highly unfolding Idle I...,Earn antimatter through dimensions! Gain Infinite ...,Minimum:Requires a 64-bit processor and operating ...,
1332010,Stray,BlueTwelve Studio,Annapurna Interactive,"Adventure, Indie","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Dutch, Portuguese - Portugal","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",2022-07-19,"$29.99 ",82,false,You Might Also Likehttps://store.steampowered.com/...,"Lost, alone and separated from family, a stray cat...","Lost, alone and separated from family, a stray cat...",Minimum:Requires a 64-bit processor and operating ...,
2707900,NIGHT-RUNNERS™ PROLOGUE,PLANET JEM,PLANET JEM,"Racing, Simulation",Englishlanguages with full audio support,"Single-player, Full controller support",2024-02-23,,,true,DESCEND INTO THE UNDERWORLD OF JAPANESE STREET RAC...,DESCEND INTO THE UNDERWORLD OF JAPANESE STREET RAC...,Descend into the underworld of Japanese street rac...,"Minimum:OS: Windows 10Processor: AMD Ryzen 3 1200,...","References to alcohol and tobacco consumption, dep..."
665300,Stream Avatars,Travis Miller,Travis Miller,"Animation & Modeling, Audio Production, Design & Illustration, Utilities, Video Production, Web Publishing",English,"Steam Workshop, Includes level editor",2017-07-26,"$14.99 ",,false,Stream Avatars is an interactive overlay for live ...,Stream Avatars is an interactive overlay for live ...,Stream Avatars is a content creation tool for live...,,
1937500,Let's School,Pathea Games,"Pathea Games, PM Studios, inc.","Casual, Indie, Simulation","English, Simplified Chinese, German, Japanese, Traditional Chinese, Korean, French, Russian, Thai","Single-player, Steam Achievements, Steam Cloud, Family Sharing",2023-07-26,"$19.99 ",,false,"CommunityAbout the GameIn Let’s School, you take o...","In Let’s School, you take on the role of a princip...",Dive into the exhilarating role of a headmaster en...,Minimum:Requires a 64-bit processor and operating ...,
269950,X-Plane 11,Laminar Research,Laminar Research,Simulation,"English, French, Italian, German, Spanish - Spain, Portuguese - Portugal, Russianlanguages with full audio support","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Tracked Controller Support, VR Supported, Partial Controller Support, Includes level editor, Family Sharing",2017-03-30,"$29.99 ",,false,Just UpdatedX-Plane 11.51 update is now available....,The future of flight simulation is now.X-Plane 11 ...,The future of flight simulation is now! X-Plane 11...,Minimum:Requires a 64-bit processor and operating ...,
33230,Assassin's Creed 2,Ubisoft Montreal,Ubisoft,"Action, Adventure","English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Danish, Dutch, Korean, Swedishlanguages with full audio support",Single-player,2010-03-09,"$19.99 ",86,false,Assassin’s Creed® 2 is the follow-up to the title ...,Assassin’s Creed® 2 is the follow-up to the title ...,"An epic story of family, vengeance and conspiracy ...",Minimum: OS *: Windows® XP (32-64 bits) /Windows V...,
445220,Avorion,Boxelware,Boxelware,"Action, Indie, Simulation","English, German, Spanish - Spain, Russian, Simplified Chinese, Spanish - Latin America, French, Japaneselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Family Sharing",2020-03-09,"$24.99 ",,false,Workshop with Ship Builds and ModsBrowse the Avori...,"Several hundred years ago, a cataclysmic catastrop...",A procedural co-op space sandbox where players can...,Minimum:Requires a 64-bit processor and operating ...,
1096900,RPG Maker MZ,"Gotcha Gotcha Games, KADOKAWA, Yoji Ojima",Gotcha Gotcha Games,"RPG, Design & Illustration, Education, Web Publishing, Game Development","English, Japanese, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Korean","Steam Workshop, Partial Controller Support",2020-08-27,"$79.99 ",,false,Sample GamesSample games made in MZ are available ...,The RPG Maker Series' Newest Offering: RPG Maker M...,"You want to create an RPG, but every game making t...",Minimum:OS *: Microsoft Windows® 8.1/10/11 (64bit)...,
1274570,DEVOUR,Straight Back Games,Straight Back Games,Indie,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish - Latin America, Turkish, Thai, Portuguese - Portugal, Czech, Dutch, Finnish, Norwegian, Portuguese - Brazil, Romanian, Hungarian, Slovak, Ukrainianlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, Steam Cloud, Family Sharing",2021-01-28,"$4.99 ",,false,DEVOUR is a co-op horror survival game for 1-4 pla...,DEVOUR is a co-op horror survival game for 1-4 pla...,DEVOUR is a co-op horror survival game for 1-4 pla...,Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
1124180,Rail Route,Bitrich.info,Bitrich.info,"Casual, Indie, Simulation, Strategy","English, German, Russian, French, Spanish - Spain, Czech, Hungarian, Polish, Simplified Chinese, Dutch, Japanese, Koreanlanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing",2024-02-22,"$18.74 ",,false,Join our community on DiscordAbout the GameEver dr...,Ever dreamed of designing your own railway network...,"In Rail Route, you will design, construct, upgrade...",Minimum:Requires a 64-bit processor and operating ...,
1105420,Game of Thrones Winter is Coming,YOUZU (SINGAPORE) PTE. LTD.,YOUZU (SINGAPORE) PTE. LTD.,"Massively Multiplayer, RPG, Simulation, Strategy, Free to Play","English, French, Italian, German, Turkish, Japanese, Polish, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America, Vietnamese, Koreanlanguages with full audio support","Multi-player, MMO, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases",2019-11-14,,,true,JOIN OUR DISCORDAbout the GameGame of Thrones Wint...,Game of Thrones Winter is Coming is a PC strategy ...,Game of Thrones Winter is Coming is a PC strategy ...,Minimum:OS *: Windows 7 SP1Processor: Intel Core i...,This Game may contain content not appropriate for ...
1827180,Toram Online,"Asobimo, Inc.","Asobimo, Inc.","Free to Play, Massively Multiplayer, RPG","English, Thai, Traditional Chinese, Japanese, Korean, Indonesian","Multi-player, MMO, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",2021-12-19,,,true,"Toram Online, the popular smartphone game, is now ...","Toram Online, the popular smartphone game, is now ...",The MMORPG of a massive and magnificent fantasy! L...,Minimum:Requires a 64-bit processor and operating ...,
2230980,Caribbean Legend,BlackMark Studio,"BlackMark Studio, Valkyrie Initiative",RPG,"English, Russian","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",2024-02-15,"$29.99 ",,false,METROIDVANIA ACTION-ADVENTURE. WISHLIST NOW!https:...,Based on Sea Dogs series and inspired by Sid Meier...,"An open-world RPG, set in the Golden Age of Caribb...",Minimum:Requires a 64-bit processor and operating ...,"Combat, Blood, Strong Language, Occasional Sexual ..."
1588010,PGA TOUR 2K23,HB Studios,2K,"RPG, Simulation, Sports","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, In-App Purchases, Family Sharing",2022-10-13,"$14.99 ",,false,PGA TOUR 2K23 Tiger Woods EditionThe Tiger Woods E...,Hit the links with more swagger in PGA TOUR 2K23.A...,Hit the links with more swagger in PGA TOUR 2K23. ...,Minimum:Requires a 64-bit processor and operating ...,
1433140,The Texas Chain Saw Massacre,Sumo Digital,Gun Interactive,"Action, Indie","English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russianlanguages with full audio support","Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2023-08-18,"$39.99 ",,false,Take on the role of one of the notorious Slaughter...,Take on the role of one of the notorious Slaughter...,Take on the role of one of the notorious Slaughter...,Minimum:Requires a 64-bit processor and operating ...,This game regularly depicts violence and gore.
1483870,Draw & Guess,Acureus,Acureus,"Casual, Indie","English, German, French, Simplified Chinese, Japanese, Spanish - Spain, Korean, Russian, Italian, Traditional Chinese, Portuguese - Brazil, Polishlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, Steam Workshop, Includes level editor, Family Sharing",2021-03-12,"$2.99 ",,false,Draw & Guess is an online party game where you can...,Draw & Guess is an online party game where you can...,An online party game of drawing and guessing for u...,Minimum:Requires a 64-bit processor and operating ...,
1955960,HAWKED,MY.GAMES,"MY.GAMES, The 4 Winds Entertainment (MENA and Turkey)","Action, Adventure, Free to Play","English, French, German, Spanish - Spain, Arabic, Turkish, Portuguese - Brazil, Korean, Polish, Simplified Chinese, Traditional Chineselanguages with full audio support","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases",2024-02-15,,,true,SQUAD UP ON DISCORD!About the GameEmbark on the ul...,"Embark on the ultimate treasure hunt in HAWKED, a ...",HAWKED is an online Extraction Shooter full of dar...,Minimum:Requires a 64-bit processor and operating ...,
1759380,Bandle Tale: A League of Legends Story,Lazy Bear Games,Riot Forge,"RPG, Simulation","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chineselanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2024-02-21,"$24.99 ",,false,Digital Deluxe EditionBandle Tale: A League of Leg...,"One little Yordle, one humongous problem.From Lazy...",Bandle Tale: A League of Legends Story is a crafti...,Minimum:OS: Windows 10 x64Processor: Intel Core i3...,
756800,Contraband Police,Crazy Rocks,PlayWay S.A.,"Action, Adventure, Simulation","English, French, Italian, German, Spanish - Spain, Simplified Chinese, Polish, Portuguese - Brazil, Russian, Thai, Turkish, Japanese, Traditional Chinese, Spanish - Latin America, Dutch, Korean, Portuguese - Portugal, Ukrainian","Single-player, Steam Achievements, Full controller support, Stats, Family Sharing",2023-03-08,"$29.99 ",77,false,Check out this game from our friends!https://store...,"The year is 1981, and as a young officer trainee, ...",Take over the duties of a border guard inspector i...,Minimum:Requires a 64-bit processor and operating ...,This game may contain content that is not appropri...
1062520,Dinkum,James Bendon,James Bendon,"Indie, RPG, Simulation, Early Access",English,"Single-player, Multi-player, Co-op, Online Co-op, Partial Controller Support, Family Sharing",2022-07-14,"$19.99 ",,false,Join our Discord!Road MapAbout the GameG’Day there...,G’Day there! Get ready to start a new fair Dinkum ...,G’Day! Get ready to start a new fair Dinkum life a...,Minimum:OS *: Windows 7 / 8 / 10Processor: Intel C...,
223710,Cry of Fear,Team Psykskallar,Team Psykskallar,"Action, Adventure, Indie","English, German, French, Spanish - Spain, Dutch, Norwegian, Swedishlanguages with full audio support","Single-player, Multi-player, Co-op, Steam Cloud, Valve Anti-Cheat enabled",2013-04-25,,,true,Cry of Fear is a psychological single-player and c...,Cry of Fear is a psychological single-player and c...,Cry of Fear is a psychological single-player and c...,Minimum:OS *:Windows® 7 (32/64-bit)/Vista/XP Proce...,
1222690,Dragon Age™ Inquisition,BioWare,Electronic Arts,"Action, Adventure, RPG, Strategy","English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russianlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards",2020-06-04,"$39.99 ",85,false,"When the sky opens up and rains down chaos, the wo...","When the sky opens up and rains down chaos, the wo...","Winner of over 130 Game of the Year awards, discov...",Minimum:Requires a 64-bit processor and operating ...,
729040,Borderlands Game of the Year Enhanced,"Gearbox Software, Blind Squirrel Games",2K,"Action, RPG","English, French, Italian, German, Spanish - Spain, Japaneselanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2023-08-31,"$9.89 ",,false,Borderlands Collection: Pandora's BoxThis title is...,Discover the co-op shooter-looter that started it ...,"Discover the original co-op shooter-looter, cramme...",Minimum:Requires a 64-bit processor and operating ...,This Game may contain content not appropriate for ...
880940,Pummel Party,Rebuilt Games,Rebuilt Games,"Action, Casual, Indie","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Russian, Simplified Chinese, Traditional Chineselanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Workshop, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",2018-09-20,"$14.99 ",,false,Pummel Party is a 4-8 player online and local-mult...,Pummel Party is a 4-8 player online and local-mult...,Pummel Party is a 4-8 player online and local-mult...,Minimum:OS *: Windows 7Processor: Dual Core 2.4Ghz...,
17390,SPORE™,Maxis™,Electronic Arts,"Action, Adventure, Casual, RPG, Simulation, Strategy","English, Czech, Danish, German, Spanish - Spain, Finnish, French, Italian, Hungarian, Dutch, Norwegian, Polish, Russian, Swedish, Portuguese - Portugal","Single-player, Steam Trading Cards, Family Sharing",2008-12-19,"$19.99 ",84,false,"From Single Cell to Galactic God, evolve in a univ...","From Single Cell to Galactic God, evolve in a univ...","Be the architect of your own universe with Spore, ...",Supported OS: Microsoft Windows® XP with Service P...,
920210,LEGO® Star Wars™: The Skywalker Saga,TT Games,"Warner Bros. Games, Warner Bros. Interactive Entertainment","Action, Adventure","English, French, Italian, German, Spanish - Spain, Arabic, Danish, Dutch, Korean, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chinese, Japaneselanguages with full audio support","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, HDR available, Family Sharing",2022-04-05,"$49.99 ",78,false,LEGO® Star Wars™: The Skywalker Saga Galactic Edit...,The galaxy is yours in LEGO® Star Wars™: The Skywa...,Play through all nine Skywalker saga films in a ga...,Minimum:Requires a 64-bit processor and operating ...,
2063610,Pro Cycling Manager 2023,Cyanide Studio,Nacon,"Simulation, Sports","English, French, Italian, German, Spanish - Spain, Danish, Dutch, Norwegian, Portuguese - Portugallanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",2023-06-08,"$9.99 ",,false," Start at the very bottom or in charge of a World ..."," Start at the very bottom or in charge of a World ...",Manage a team of professional cyclists: control th...,Minimum:Requires a 64-bit processor and operating ...,
253710,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios","Action, Adventure, Free to Play, Simulation, Sports","English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Russian, Swedish, Turkishlanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases",2014-06-03,,,true,The most realistic online hunting game ever create...,The most realistic online hunting game ever create...,The most realistic hunting experience awaits. Expl...,Minimum:OS *: Windows ® 10/8/7Processor: Intel 2 G...,
992070,Idle Wizard,TwoWizards,TwoWizards,"Casual, Free to Play",English,"Single-player, Steam Achievements, In-App Purchases, Steam Cloud",2019-01-24,,,true,...Then try out Idle Wizard! It's an idle game inf...,...Then try out Idle Wizard! It's an idle game inf...,RPG/Idle hybrid about becoming the most powerful w...,Minimum:OS *: Windows 7Processor: 2.0 GhzMemory: 1...,
1649080,Two Point Campus,Two Point Studios,SEGA,"Casual, Indie, Simulation, Strategy","English, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkishlanguages with full audio support","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",2022-08-09,"$29.99 ",83,false,JOIN OUR DISCORD SERVERAbout the GameBuild your un...,"Build your university, your way! It’s time to spin...",Build the university of your dreams with Two Point...,Minimum:Requires a 64-bit processor and operating ...,
2668080,Snowbreak: Containment Zone,Amazing Seasun Games,Amazing Seasun Games,"Action, Adventure, RPG","English, French, German, Japanese, Simplified Chinese, Korean, Indonesian, Traditional Chinese, Spanish - Latin Americalanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",2023-12-24,,,true,Snowbreak: Containment Zone is a 3D sci-fi RPG-sho...,Snowbreak: Containment Zone is a 3D sci-fi RPG-sho...,The new 3D sci-fi RPG-shooter is here! Aim at fate...,Minimum:Requires a 64-bit processor and operating ...,Snowbreak includes some suggestive character desig...
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",Relic Entertainment,SEGA,Strategy,"English, French, German","Single-player, Multi-player, Steam Cloud, Family Sharing",2008-03-05,"$12.99 ",,false,The third and final expansion to the genre-definin...,The third and final expansion to the genre-definin...,The third and final expansion to the genre-definin...,Minimum: OS *: Microsoft® Windows® XP or 2000 Proc...,
585420,Trailmakers,Flashbulb,Flashbulb,"Action, Adventure, Indie, Racing, Simulation","English, French, Italian, German, Spanish - Spain, Danish, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Leaderboards, Remote Play on TV, Family Sharing",2019-09-18,"$24.99 ",,false,"Featured DLCAbout the GameBuild a car, plane or bo...","Build a car, plane or boat…Or mash ‘em all togethe...",Build the ultimate vehicle and explore a vast open...,Minimum:Requires a 64-bit processor and operating ...,
212500,The Lord of the Rings Online™,"Standing Stone Games, LLC","Standing Stone Games, LLC","Action, Adventure, Free to Play, Massively Multiplayer, RPG","English, French, Germanlanguages with full audio support","Multi-player, MMO, PvP, Co-op, In-App Purchases, Partial Controller Support",2012-06-06,,,true,"In The Lord of the Rings Online™, join the world’s...","In The Lord of the Rings Online™, join the world’s...",Join the world’s greatest fellowship of players in...,Minimum:OS *: Windows 7 (64bit recommended for hig...,
2181940,CivIdle,Fish Pond Studio,Fish Pond Studio,"Indie, Simulation, Strategy, Free to Play, Early Access","English, Russian, Simplified Chinese, French, German, Korean, Portuguese - Brazil, Traditional Chinese, Czech, Dutch, Spanish - Spain","Single-player, Multi-player, Steam Achievements, Steam Cloud",2024-02-16,,,true,"Empire Must GrowExpand your empire's territory, pr...","Empire Must GrowExpand your empire's territory, pr...",CivIdle is an idle/incremental game that allows yo...,Minimum:Requires a 64-bit processor and operating ...,
2285150,The Front,Samar Studio,Samar Studio,"Action, Indie, Massively Multiplayer, Simulation, Early Access","English, French, German, Russian, Japanese, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Italian, Polish, Spanish - Latin America, Korean, Thai","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op",2023-10-11,"$19.99 ",,false,JOIN THE COMMUNITYAbout the GameThe Front takes pl...,The Front takes place in a post-apocalyptic sandbo...,The Front is a survival open-world crafting sandbo...,Minimum:Requires a 64-bit processor and operating ...,
2772560,Supermarket Simulator: Prologue,Nokta Games,Nokta Games,"Casual, Indie, Simulation, Free to Play",Englishlanguages with full audio support,Single-player,2024-01-26,,,true,SEE FULL VERSIONhttps://store.steampowered.com/app...,This Prologue is a limited version of the full gam...,Start running your own supermarket with Prologue a...,Minimum:OS: Windows (64-bit) 10Processor: i5 3550 ...,
3330,Zuma Deluxe,"PopCap Games, Inc.","PopCap Games, Inc., Electronic Arts",Casual,"English, French, German, Italian, Spanish - Spain","Single-player, Family Sharing",2006-08-30,"$4.99 ",,false,"Survive the ancient temples of Zuma, the criticall...","Survive the ancient temples of Zuma, the criticall...",Deep in the jungle lie hidden temples bursting wit...,"Minimum Requirements: Windows 98/ME/2000/XP, 128 M...",
678960,CODE VEIN,Bandai Namco Studios,Bandai Namco Entertainment,"Action, RPG","French, English, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Spanish - Latin America, Traditional Chineselanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",2019-09-26,"$59.99 ",72,false,Digital Deluxe EditionAbout the GameRISE TOGETHERT...,RISE TOGETHERTeam up with an AI partner or a frien...,"In the face of certain death, we rise. Team up and...",Minimum:Requires a 64-bit processor and operating ...,
895400,Deadside,Bad Pixel,Bad Pixel,"Action, Adventure, Indie, Massively Multiplayer, Early Access","English, Russian, French, German, Spanish - Latin America","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2020-04-14,"$8.99 ",,false,Join Our DiscordJust UpdatedThe new UPDATE 0.6.0 i...,DEADSIDE blends together the feeling of an Extract...,An Open World Survival Shooter you haven’t seen th...,Minimum:Requires a 64-bit processor and operating ...,This game contains mature content like frequent vi...
231120,Euro Truck Simulator 2 Demo,SCS Software,SCS Software,Simulation,"English, German, French, Italian, Korean, Spanish - Spain, Simplified Chinese, Russian, Japanese, Portuguese - Portugal, Polish, Danish, Dutch, Finnish, Norwegian, Swedish, Hungarian, Czech, Romanian, Turkish, Portuguese - Brazil, Bulgarian, Greek","Single-player, Game demo, Family Sharing",2013-02-08,,79,true,,,,Minimum:OS *: Windows 7Processor: Dual core CPU 2....,
362890,Black Mesa,Crowbar Collective,Crowbar Collective,"Action, Adventure, Indie","English, German, Spanish - Spain, Finnish, Norwegian, French, Portuguese - Portugal, Russian, Italian, Czech, Danish, Dutch, Hungarian, Korean, Polish, Romanian, Simplified Chinese, Swedish, Traditional Chinese, Turkish, Ukrainian, Greek, Japanese, Portuguese - Brazil, Spanish - Latin America, Vietnamese, Croatian, Georgian, Indonesian, Lithuanianlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Includes Source SDK, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2020-03-06,"$19.99 ",84,false,Join Our CommunityAbout the GameRelive Half-LifeBl...,Relive Half-LifeBlack Mesa is the fan-made reimagi...,Relive Half-Life.,Minimum:OS *: Windows® 7 (32/64-bit)/Vista or Grea...,"Violence and death due to falls, blunt force, guns..."
410900,Forts,EarthWork Games,EarthWork Games,"Action, Indie, Strategy","English, French, German, Spanish - Spain, Russian, Italian, Japanese, Korean, Polish, Portuguese - Portugal, Portuguese - Brazil, Simplified Chinese, Turkish, Hungarian, Traditional Chinese, Slovak, Ukrainianlanguages with full audio support","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing",2017-04-19,"$14.99 ",74,false,Join the Forts Official Discord!About the GameUnle...,Unleash your creativity and strategic prowess in F...,Unleash your creativity and strategic prowess in F...,Minimum:Requires a 64-bit processor and operating ...,
610080,Realm Grinder,Divine Games,Kongregate,"Free to Play, RPG, Strategy","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases",2017-06-15,,,true,"Grow your kingdom, build alliances, and explore on...","Grow your kingdom, build alliances, and explore on...","Grow your realm, build alliances, and explore one ...",Minimum:OS *: Windows 7Processor: Core i5 or Core ...,
850170,EMERGENCY,Sixteen Tons Entertainment,Sixteen Tons Entertainment,"Action, Strategy, Free to Play","English, German, French, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Simplified Chineselanguages with full audio support","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases",2023-08-15,,,true,"EMERGENCY – Save lives, be a hero! Ready to start ...","EMERGENCY – Save lives, be a hero! Ready to start ...",Save lives – be a hero! Join forces against the ch...,Minimum:Requires a 64-bit processor and operating ...,
391540,Undertale,tobyfox,tobyfox,"Indie, RPG","English, Japanese","Single-player, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing",2015-09-15,"$9.99 ",92,false,"Welcome to UNDERTALE. In this RPG, you control a h...","Welcome to UNDERTALE. In this RPG, you control a h...",UNDERTALE! The RPG game where you don't have to de...,"Minimum:OS *: Windows XP, Vista, 7, 8, or 10Memory...",
1227890,Summer Memories,Dojin Otome,Kagura Games,"Adventure, RPG","English, Japanese, Simplified Chineselanguages with full audio support","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",2020-06-14,"$19.99 ",,false,Winter Memories Coming Soon!https://store.steampow...,"Summer break has begun, and for the first time in ...","It's summer break, and it's been years since you'v...",Minimum:OS *: Windows® 7/8/8.1/10/11Processor: Int...,Summer Memories contains strong language.
